"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Cloud County, KS"	"20029"	146	9150	15.956	9.042
	"Coffey County, KS"	"20031"	97	8433	11.502	7.502
	"Comanche County, KS"	"20033"	29	1862	15.575	9.683
	"Cowley County, KS"	"20035"	435	35753	12.167	9.093
	"Crawford County, KS"	"20037"	433	39164	11.056	9.332
	"Decatur County, KS"	"20039"	48	2832	16.949	7.586
	"Dickinson County, KS"	"20041"	240	19064	12.589	7.957
	"Doniphan County, KS"	"20043"	78	7664	10.177	7.131
	"Douglas County, KS"	"20045"	649	119440	5.434	6.185
	"Edwards County, KS"	"20047"	32	2938	10.892	7.339
	"Elk County, KS"	"20049"	40	2547	15.705	9.437
	"Ellis County, KS"	"20051"	258	28893	8.929	7.742
	"Ellsworth County, KS"	"20053"	86	6328	13.590	8.599
	"Finney County, KS"	"20055"	212	36722	5.773	6.745
	"Ford County, KS"	"20057"	241	33971	7.094	7.425
	"Franklin County, KS"	"20059"	297	25560	11.620	9.568
	"Geary County, KS"	"20061"	230	35586	6.463	9.367
	"Gove County, KS"	"20063"	41	2589	15.836	8.349
	"Graham County, KS"	"20065"	33	2564	12.871	6.804
	"Grant County, KS"	"20067"	51	7646	6.670	7.191
	"Gray County, KS"	"20069"	68	6034	11.269	9.421
	"Greeley County, KS"	"20071"	23	1296	17.747	10.921
	"Greenwood County, KS"	"20073"	109	6151	17.721	10.479
	"Hamilton County, KS"	"20075"	19	2536	7.492 (Unreliable)	8.226 (Unreliable)
	"Harper County, KS"	"20077"	84	5685	14.776	8.965
	"Harvey County, KS"	"20079"	410	34913	11.743	7.564
	"Haskell County, KS"	"20081"	29	4006	7.239	7.429
	"Hodgeman County, KS"	"20083"	24	1870	12.834	6.414
	"Jackson County, KS"	"20085"	125	13291	9.405	7.365
	"Jefferson County, KS"	"20087"	178	18897	9.419	6.928
	"Jewell County, KS"	"20089"	35	2901	12.065	5.650
	"Johnson County, KS"	"20091"	3748	584451	6.413	5.879
	"Kearny County, KS"	"20093"	35	3917	8.935	8.030
	"Kingman County, KS"	"20095"	142	7467	19.017	11.573
	"Kiowa County, KS"	"20097"	20	2483	8.055	4.870
	"Labette County, KS"	"20099"	285	20444	13.941	9.791
	"Lane County, KS"	"20101"	33	1636	20.171	11.413
	"Leavenworth County, KS"	"20103"	656	80204	8.179	7.872
	"Lincoln County, KS"	"20105"	39	3073	12.691	7.535
	"Linn County, KS"	"20107"	117	9558	12.241	8.322
	"Logan County, KS"	"20109"	22	2831	7.771	4.204
	"Lyon County, KS"	"20111"	252	33510	7.520	6.469
	"McPherson County, KS"	"20113"	354	28804	12.290	7.357
	"Marion County, KS"	"20115"	168	12112	13.871	7.770
	"Marshall County, KS"	"20117"	129	9836	13.115	7.125
	"Meade County, KS"	"20119"	53	4216	12.571	8.748
	"Miami County, KS"	"20121"	303	32964	9.192	7.559
	"Mitchell County, KS"	"20123"	67	6243	10.732	5.461
	"Montgomery County, KS"	"20125"	457	32746	13.956	9.887
	"Morris County, KS"	"20127"	82	5573	14.714	7.268
	"Morton County, KS"	"20129"	31	2848	10.885	7.384
	"Nemaha County, KS"	"20131"	118	10241	11.522	6.612
	"Neosho County, KS"	"20133"	202	16146	12.511	8.265
	"Ness County, KS"	"20135"	43	2962	14.517	7.213
	"Norton County, KS"	"20137"	80	5493	14.564	9.355
	"Osage County, KS"	"20139"	188	15843	11.866	8.478
	"Osborne County, KS"	"20141"	66	3642	18.122	9.161
	"Ottawa County, KS"	"20143"	86	5920	14.527	10.428
	"Pawnee County, KS"	"20145"	85	6743	12.606	8.075
	"Phillips County, KS"	"20147"	70	5428	12.896	7.495
	"Pottawatomie County, KS"	"20149"	165	23661	6.974	6.448
	"Pratt County, KS"	"20151"	128	9584	13.356	9.025
	"Rawlins County, KS"	"20153"	42	2549	16.477	7.206
	"Reno County, KS"	"20155"	721	63220	11.405	7.849
	"Republic County, KS"	"20157"	81	4699	17.238	7.721
	"Rice County, KS"	"20159"	115	9831	11.698	8.504
	"Riley County, KS"	"20161"	378	73343	5.154	7.029
	"Rooks County, KS"	"20163"	66	5076	13.002	7.403
	"Rush County, KS"	"20165"	67	3058	21.910	11.614
	"Russell County, KS"	"20167"	81	6988	11.591	6.538
	"Saline County, KS"	"20169"	517	55142	9.376	7.273
	"Scott County, KS"	"20171"	55	5032	10.930	7.215
	"Sedgwick County, KS"	"20173"	4509	511995	8.807	8.250
	"Seward County, KS"	"20175"	134	22709	5.901	7.263
	"Shawnee County, KS"	"20177"	1874	178146	10.519	8.085
	"Sheridan County, KS"	"20179"	30	2509	11.957	5.755
	"Sherman County, KS"	"20181"	66	5965	11.065	7.793
	"Smith County, KS"	"20183"	70	3632	19.273	8.515
	"Stafford County, KS"	"20185"	40	4208	9.506	6.091
	"Stanton County, KS"	"20187"	22	2062	10.669	7.439
	"Stevens County, KS"	"20189"	45	5584	8.059	6.954
	"Sumner County, KS"	"20191"	247	23272	10.614	7.689
	"Thomas County, KS"	"20193"	69	7892	8.743	6.243
	"Trego County, KS"	"20195"	55	2872	19.150	9.893
	"Wabaunsee County, KS"	"20197"	68	6891	9.868	7.206
	"Wallace County, KS"	"20199"	16	1497	10.688 (Unreliable)	4.870 (Unreliable)
	"Washington County, KS"	"20201"	75	5546	13.523	7.208
	"Wichita County, KS"	"20203"	22	2112	10.417	6.685
	"Wilson County, KS"	"20205"	102	8723	11.693	7.693
	"Woodson County, KS"	"20207"	52	3165	16.430	9.762
	"Wyandotte County, KS"	"20209"	1349	163831	8.234	8.758
	"Adair County, KY"	"21001"	197	19280	10.218	8.555
	"Allen County, KY"	"21003"	244	20631	11.827	10.465
	"Anderson County, KY"	"21005"	253	22158	11.418	10.008
	"Ballard County, KY"	"21007"	119	8054	14.775	10.356
	"Barren County, KY"	"21009"	511	43993	11.615	9.026
	"Bath County, KY"	"21011"	152	12327	12.331	10.361
	"Bell County, KY"	"21013"	402	27117	14.825	11.703
	"Boone County, KY"	"21015"	871	128536	6.776	7.571
	"Bourbon County, KY"	"21017"	235	20030	11.732	9.010
	"Boyd County, KY"	"21019"	656	48132	13.629	10.123
	"Boyle County, KY"	"21021"	341	30018	11.360	8.654
	"Bracken County, KY"	"21023"	89	8400	10.595	9.573
	"Breathitt County, KY"	"21025"	200	13284	15.056	12.964
	"Breckinridge County, KY"	"21027"	225	19961	11.272	9.060
	"Bullitt County, KY"	"21029"	665	79151	8.402	8.129
	"Butler County, KY"	"21031"	186	12845	14.480	11.013
	"Caldwell County, KY"	"21033"	151	12568	12.015	8.887
	"Calloway County, KY"	"21035"	380	38437	9.886	8.446
	"Campbell County, KY"	"21037"	909	92211	9.858	8.738
	"Carlisle County, KY"	"21039"	68	4855	14.006	9.658
	"Carroll County, KY"	"21041"	139	10679	13.016	11.162
	"Carter County, KY"	"21043"	290	27046	10.722	8.914
	"Casey County, KY"	"21045"	214	15815	13.531	10.304
	"Christian County, KY"	"21047"	601	72351	8.307	8.992
	"Clark County, KY"	"21049"	422	35819	11.781	9.503
	"Clay County, KY"	"21051"	297	20766	14.302	13.248
	"Clinton County, KY"	"21053"	121	10177	11.890	9.617
	"Crittenden County, KY"	"21055"	133	9188	14.475	10.154
	"Cumberland County, KY"	"21057"	109	6738	16.177	10.796
	"Daviess County, KY"	"21059"	1096	99674	10.996	8.796
	"Edmonson County, KY"	"21061"	145	12114	11.970	8.468
	"Elliott County, KY"	"21063"	90	7588	11.861	9.100
	"Estill County, KY"	"21065"	188	14307	13.140	11.264
	"Fayette County, KY"	"21067"	2464	318449	7.738	7.935
	"Fleming County, KY"	"21069"	179	14507	12.339	10.687
	"Floyd County, KY"	"21071"	556	37110	14.982	12.460
	"Franklin County, KY"	"21073"	585	50560	11.570	9.329
	"Fulton County, KY"	"21075"	93	6179	15.051	10.757
	"Gallatin County, KY"	"21077"	108	8609	12.545	13.578
	"Garrard County, KY"	"21079"	160	17292	9.253	7.773
	"Grant County, KY"	"21081"	247	24923	9.911	10.455
	"Graves County, KY"	"21083"	494	37182	13.286	10.218
	"Grayson County, KY"	"21085"	341	26184	13.023	10.780
	"Green County, KY"	"21087"	147	11060	13.291	9.167
	"Greenup County, KY"	"21089"	473	35893	13.178	9.628
	"Hancock County, KY"	"21091"	77	8810	8.740	7.571
	"Hardin County, KY"	"21093"	906	107316	8.442	8.172
	"Harlan County, KY"	"21095"	412	27168	15.165	11.665
	"Harrison County, KY"	"21097"	220	18646	11.799	9.819
	"Hart County, KY"	"21099"	218	18627	11.703	9.792
	"Henderson County, KY"	"21101"	520	46253	11.243	9.136
	"Henry County, KY"	"21103"	172	15818	10.874	9.195
	"Hickman County, KY"	"21105"	70	4627	15.129	8.332
	"Hopkins County, KY"	"21107"	649	45904	14.138	11.101
	"Jackson County, KY"	"21109"	174	13368	13.016	11.415
	"Jefferson County, KY"	"21111"	8149	765352	10.647	9.055
	"Jessamine County, KY"	"21113"	455	52357	8.690	8.025
	"Johnson County, KY"	"21115"	306	22978	13.317	10.840
	"Kenton County, KY"	"21117"	1506	164945	9.130	8.685
	"Knott County, KY"	"21119"	228	15544	14.668	12.196
	"Knox County, KY"	"21121"	426	31687	13.444	11.181
	"Larue County, KY"	"21123"	172	14096	12.202	8.741
	"Laurel County, KY"	"21125"	660	60250	10.954	9.593
	"Lawrence County, KY"	"21127"	210	15863	13.238	11.537
	"Lee County, KY"	"21129"	113	6580	17.173	15.286
	"Leslie County, KY"	"21131"	165	10538	15.658	12.260
	"Letcher County, KY"	"21133"	354	22773	15.545	12.537
	"Lewis County, KY"	"21135"	186	13442	13.837	11.106
	"Lincoln County, KY"	"21137"	298	24372	12.227	9.989
	"Livingston County, KY"	"21139"	137	9269	14.780	10.780
	"Logan County, KY"	"21141"	289	26593	10.868	8.439
	"Lyon County, KY"	"21143"	115	8069	14.252	8.602
	"McCracken County, KY"	"21145"	833	65162	12.784	9.047
	"McCreary County, KY"	"21147"	213	17511	12.164	11.631
	"McLean County, KY"	"21149"	144	9475	15.198	11.583
	"Madison County, KY"	"21151"	753	89547	8.409	8.567
	"Magoffin County, KY"	"21153"	147	12684	11.589	10.088
	"Marion County, KY"	"21155"	222	19205	11.559	9.506
	"Marshall County, KY"	"21157"	472	31365	15.049	10.291
	"Martin County, KY"	"21159"	151	12002	12.581	11.024
	"Mason County, KY"	"21161"	230	17190	13.380	10.905
	"Meade County, KY"	"21163"	245	28126	8.711	8.558
	"Menifee County, KY"	"21165"	88	6408	13.733	10.279
	"Mercer County, KY"	"21167"	284	21477	13.223	10.351
	"Metcalfe County, KY"	"21169"	143	10018	14.274	10.945
	"Monroe County, KY"	"21171"	152	10588	14.356	10.844
	"Montgomery County, KY"	"21173"	331	27771	11.919	10.414
	"Morgan County, KY"	"21175"	149	13298	11.205	9.821
	"Muhlenberg County, KY"	"21177"	364	31028	11.731	9.023
	"Nelson County, KY"	"21179"	442	45559	9.702	9.326
	"Nicholas County, KY"	"21181"	112	7084	15.810	12.501
	"Ohio County, KY"	"21183"	311	24378	12.757	10.320
	"Oldham County, KY"	"21185"	405	65560	6.178	6.980
	"Owen County, KY"	"21187"	118	10642	11.088	9.299
	"Owsley County, KY"	"21189"	69	4491	15.364	12.106
	"Pendleton County, KY"	"21191"	147	14560	10.096	9.004
	"Perry County, KY"	"21193"	460	27343	16.823	14.105
	"Pike County, KY"	"21195"	814	60555	13.442	10.789
	"Powell County, KY"	"21197"	157	12308	12.756	11.752
	"Pulaski County, KY"	"21199"	871	63956	13.619	10.795
	"Robertson County, KY"	"21201"	28	2155	12.993	8.313
	"Rockcastle County, KY"	"21203"	188	16850	11.157	9.483
	"Rowan County, KY"	"21205"	244	24451	9.979	10.111
	"Russell County, KY"	"21207"	274	17722	15.461	11.279
	"Scott County, KY"	"21209"	379	53972	7.022	8.297
	"Shelby County, KY"	"21211"	405	46408	8.727	8.434
	"Simpson County, KY"	"21213"	231	18083	12.774	10.809
	"Spencer County, KY"	"21215"	161	18274	8.810	9.502
	"Taylor County, KY"	"21217"	286	25397	11.261	8.943
	"Todd County, KY"	"21219"	152	12295	12.363	10.630
	"Trigg County, KY"	"21221"	167	14264	11.708	8.117
	"Trimble County, KY"	"21223"	108	8620	12.529	10.740
	"Union County, KY"	"21225"	202	14880	13.575	11.862
	"Warren County, KY"	"21227"	1015	125532	8.086	8.446
	"Washington County, KY"	"21229"	158	12189	12.963	10.138
	"Wayne County, KY"	"21231"	240	20453	11.734	9.596
	"Webster County, KY"	"21233"	171	13316	12.842	9.960
	"Whitley County, KY"	"21235"	497	36096	13.769	12.576
	"Wolfe County, KY"	"21237"	115	7159	16.064	13.496
	"Woodford County, KY"	"21239"	246	26124	9.417	7.890
	"Acadia Parish, LA"	"22001"	616	62645	9.833	9.073
	"Allen Parish, LA"	"22003"	270	25684	10.512	9.952
	"Ascension Parish, LA"	"22005"	762	121587	6.267	7.768
	"Assumption Parish, LA"	"22007"	199	22695	8.768	7.285
	"Avoyelles Parish, LA"	"22009"	487	41117	11.844	9.908
	"Beauregard Parish, LA"	"22011"	407	36927	11.022	10.158
	"Bienville Parish, LA"	"22013"	207	13865	14.930	10.499
	"Bossier Parish, LA"	"22015"	1034	126057	8.203	8.020
	"Caddo Parish, LA"	"22017"	2736	248851	10.995	9.219
	"Calcasieu Parish, LA"	"22019"	2029	200601	10.115	9.391
	"Caldwell Parish, LA"	"22021"	109	10087	10.806	9.123
	"Cameron Parish, LA"	"22023"	47	6882	6.829	5.836
	"Catahoula Parish, LA"	"22025"	147	9921	14.817	12.293
	"Claiborne Parish, LA"	"22027"	190	16132	11.778	8.924
	"Concordia Parish, LA"	"22029"	247	19920	12.400	10.137
	"De Soto Parish, LA"	"22031"	308	27149	11.345	9.305
	"East Baton Rouge Parish, LA"	"22033"	3854	447037	8.621	8.486
	"East Carroll Parish, LA"	"22035"	82	7271	11.278	10.215
	"East Feliciana Parish, LA"	"22037"	267	19683	13.565	11.499
	"Evangeline Parish, LA"	"22039"	374	33709	11.095	10.145
	"Franklin Parish, LA"	"22041"	281	20330	13.822	10.887
	"Grant Parish, LA"	"22043"	204	22365	9.121	8.693
	"Iberia Parish, LA"	"22045"	731	73273	9.976	9.474
	"Iberville Parish, LA"	"22047"	350	32920	10.632	9.524
	"Jackson Parish, LA"	"22049"	197	15808	12.462	9.093
	"Jefferson Parish, LA"	"22051"	4181	436523	9.578	7.930
	"Jefferson Davis Parish, LA"	"22053"	377	31413	12.001	10.154
	"Lafayette Parish, LA"	"22055"	1700	241398	7.042	7.409
	"Lafourche Parish, LA"	"22057"	862	98305	8.769	7.852
	"LaSalle Parish, LA"	"22059"	161	15052	10.696	8.705
	"Lincoln Parish, LA"	"22061"	366	47745	7.666	7.666
	"Livingston Parish, LA"	"22063"	1079	140138	7.700	8.520
	"Madison Parish, LA"	"22065"	131	11528	11.364	10.754
	"Morehouse Parish, LA"	"22067"	338	26071	12.965	10.025
	"Natchitoches Parish, LA"	"22069"	435	39162	11.108	9.920
	"Orleans Parish, LA"	"22071"	3273	391495	8.360	8.146
	"Ouachita Parish, LA"	"22073"	1617	156983	10.300	9.706
	"Plaquemines Parish, LA"	"22075"	176	23464	7.501	7.345
	"Pointe Coupee Parish, LA"	"22077"	260	22159	11.733	8.936
	"Rapides Parish, LA"	"22079"	1480	132424	11.176	9.727
	"Red River Parish, LA"	"22081"	100	8550	11.696	9.274
	"Richland Parish, LA"	"22083"	216	20430	10.573	8.827
	"Sabine Parish, LA"	"22085"	254	23977	10.593	7.976
	"St. Bernard Parish, LA"	"22087"	378	45688	8.274	9.228
	"St. Charles Parish, LA"	"22089"	407	52923	7.690	7.813
	"St. Helena Parish, LA"	"22091"	137	10512	13.033	10.564
	"St. James Parish, LA"	"22093"	227	21557	10.530	9.010
	"St. John the Baptist Parish, LA"	"22095"	412	43631	9.443	9.050
	"St. Landry Parish, LA"	"22097"	998	83883	11.898	10.566
	"St. Martin Parish, LA"	"22099"	507	54007	9.388	8.719
	"St. Mary Parish, LA"	"22101"	544	52093	10.443	9.058
	"St. Tammany Parish, LA"	"22103"	2122	253602	8.367	7.369
	"Tangipahoa Parish, LA"	"22105"	1282	130710	9.808	9.818
	"Tensas Parish, LA"	"22107"	72	4597	15.662	11.297
	"Terrebonne Parish, LA"	"22109"	976	113220	8.620	8.397
	"Union Parish, LA"	"22111"	276	22487	12.274	9.171
	"Vermilion Parish, LA"	"22113"	566	60205	9.401	8.388
	"Vernon Parish, LA"	"22115"	428	50569	8.464	9.880
	"Washington Parish, LA"	"22117"	602	46310	12.999	10.782
	"Webster Parish, LA"	"22119"	554	39710	13.951	10.238
	"West Baton Rouge Parish, LA"	"22121"	205	25795	7.947	8.046
	"West Carroll Parish, LA"	"22123"	167	11114	15.026	11.400
	"West Feliciana Parish, LA"	"22125"	130	15344	8.472	7.334
	"Winn Parish, LA"	"22127"	175	14376	12.173	9.852
	"Androscoggin County, ME"	"23001"	1143	107319	10.650	8.429
	"Aroostook County, ME"	"23003"	886	67959	13.037	8.174
	"Cumberland County, ME"	"23005"	2631	292041	9.009	6.798
	"Franklin County, ME"	"23007"	337	30001	11.233	7.938
	"Hancock County, ME"	"23009"	575	54419	10.566	6.844
	"Kennebec County, ME"	"23011"	1263	120569	10.475	7.805
	"Knox County, ME"	"23013"	487	39744	12.253	7.276
	"Lincoln County, ME"	"23015"	436	34216	12.743	7.386
	"Oxford County, ME"	"23017"	671	57217	11.727	7.951
	"Penobscot County, ME"	"23019"	1657	151806	10.915	8.123
	"Piscataquis County, ME"	"23021"	235	16843	13.952	8.469
	"Sagadahoc County, ME"	"23023"	374	35273	10.603	7.196
	"Somerset County, ME"	"23025"	665	50915	13.061	9.449
	"Waldo County, ME"	"23027"	367	39364	9.323	6.775
	"Washington County, ME"	"23029"	443	31450	14.086	9.445
	"York County, ME"	"23031"	2012	202343	9.944	7.216
	"Allegany County, MD"	"24001"	938	72130	13.004	9.233
	"Anne Arundel County, MD"	"24003"	4373	568346	7.694	7.231
	"Baltimore County, MD"	"24005"	8442	831026	10.159	7.765
	"Calvert County, MD"	"24009"	721	91251	7.901	7.419
	"Caroline County, MD"	"24011"	337	32850	10.259	8.551
	"Carroll County, MD"	"24013"	1601	167656	9.549	7.748
	"Cecil County, MD"	"24015"	939	102603	9.152	8.519
	"Charles County, MD"	"24017"	1080	157705	6.848	7.372
	"Dorchester County, MD"	"24019"	405	32258	12.555	8.766
	"Frederick County, MD"	"24021"	1954	247591	7.892	7.356
	"Garrett County, MD"	"24023"	331	29425	11.249	7.635
	"Harford County, MD"	"24025"	2186	251032	8.708	7.579
	"Howard County, MD"	"24027"	1596	317233	5.031	5.128
	"Kent County, MD"	"24029"	258	19730	13.077	7.463
	"Montgomery County, MD"	"24031"	6023	1043863	5.770	4.827
	"Prince George's County, MD"	"24033"	5961	908049	6.565	6.931
	"Queen Anne's County, MD"	"24035"	429	48929	8.768	7.196
	"St. Mary's County, MD"	"24037"	757	112587	6.724	6.865
	"Somerset County, MD"	"24039"	256	25928	9.873	8.479
	"Talbot County, MD"	"24041"	397	37278	10.650	5.578
	"Washington County, MD"	"24043"	1528	150292	10.167	7.988
	"Wicomico County, MD"	"24045"	1014	102577	9.885	8.822
	"Worcester County, MD"	"24047"	649	51444	12.616	7.636
	"Baltimore city, MD"	"24510"	6649	614664	10.817	10.396
	"Barnstable County, MA"	"25001"	2938	214276	13.711	6.932
	"Berkshire County, MA"	"25003"	1445	126903	11.387	6.960
	"Bristol County, MA"	"25005"	5320	558324	9.529	7.480
	"Dukes County, MA"	"25007"	156	17246	9.046	6.206
	"Essex County, MA"	"25009"	6692	779018	8.590	6.652
	"Franklin County, MA"	"25011"	719	70382	10.216	7.321
	"Hampden County, MA"	"25013"	4441	468467	9.480	7.471
	"Hampshire County, MA"	"25015"	1225	161816	7.570	6.338
	"Middlesex County, MA"	"25017"	11476	1589774	7.219	6.055
	"Nantucket County, MA"	"25019"	71	11008	6.450	5.589
	"Norfolk County, MA"	"25021"	5873	697181	8.424	6.242
	"Plymouth County, MA"	"25023"	4741	513565	9.232	7.276
	"Suffolk County, MA"	"25025"	4778	784230	6.093	6.469
	"Worcester County, MA"	"25027"	7086	819589	8.646	7.256
	"Alcona County, MI"	"26001"	179	10352	17.291	8.207
	"Alger County, MI"	"26003"	108	9219	11.715	6.890
	"Allegan County, MI"	"26005"	1025	115548	8.871	7.561
	"Alpena County, MI"	"26007"	372	28704	12.960	7.640
	"Antrim County, MI"	"26009"	261	23144	11.277	6.588
	"Arenac County, MI"	"26011"	228	15122	15.077	9.358
	"Baraga County, MI"	"26013"	105	8503	12.349	8.991
	"Barry County, MI"	"26015"	573	59702	9.598	7.537
	"Bay County, MI"	"26017"	1285	104747	12.268	8.474
	"Benzie County, MI"	"26019"	182	17572	10.357	6.112
	"Berrien County, MI"	"26021"	1796	154010	11.662	8.388
	"Branch County, MI"	"26023"	479	43427	11.030	8.906
	"Calhoun County, MI"	"26025"	1519	134386	11.303	8.758
	"Cass County, MI"	"26027"	526	51599	10.194	7.580
	"Charlevoix County, MI"	"26029"	266	26174	10.163	6.614
	"Cheboygan County, MI"	"26031"	317	25401	12.480	7.100
	"Chippewa County, MI"	"26033"	336	37724	8.907	7.233
	"Clare County, MI"	"26035"	451	30358	14.856	9.750
	"Clinton County, MI"	"26037"	603	77888	7.742	6.301
	"Crawford County, MI"	"26039"	165	13744	12.005	8.043
	"Delta County, MI"	"26041"	468	36202	12.927	7.653
	"Dickinson County, MI"	"26043"	329	25535	12.884	7.656
	"Eaton County, MI"	"26045"	984	109160	9.014	7.151
	"Emmet County, MI"	"26047"	392	33182	11.814	7.488
	"Genesee County, MI"	"26049"	4516	408615	11.052	8.997
	"Gladwin County, MI"	"26051"	367	25122	14.609	8.885
	"Gogebic County, MI"	"26053"	197	15243	12.924	7.854
	"Grand Traverse County, MI"	"26055"	868	92084	9.426	6.960
	"Gratiot County, MI"	"26057"	432	41202	10.485	7.634
	"Hillsdale County, MI"	"26059"	493	45774	10.770	8.196
	"Houghton County, MI"	"26061"	353	36555	9.657	7.744
	"Huron County, MI"	"26063"	452	31481	14.358	8.299
	"Ingham County, MI"	"26065"	2059	288051	7.148	7.326
	"Ionia County, MI"	"26067"	567	64232	8.827	8.589
	"Iosco County, MI"	"26069"	423	25327	16.702	9.120
	"Iron County, MI"	"26071"	198	11195	17.686	8.606
	"Isabella County, MI"	"26073"	500	71282	7.014	7.736
	"Jackson County, MI"	"26075"	1740	158460	10.981	8.598
	"Kalamazoo County, MI"	"26077"	2186	261654	8.355	7.423
	"Kalkaska County, MI"	"26079"	208	17263	12.049	9.379
	"Kent County, MI"	"26081"	4813	642173	7.495	7.105
	"Keweenaw County, MI"	"26083"	25	2199	11.369	5.861
	"Lake County, MI"	"26085"	151	11496	13.135	7.889
	"Lapeer County, MI"	"26087"	889	88340	10.063	8.359
	"Leelanau County, MI"	"26089"	221	21765	10.154	4.845
	"Lenawee County, MI"	"26091"	1085	98504	11.015	8.540
	"Livingston County, MI"	"26093"	1426	188624	7.560	6.540
	"Luce County, MI"	"26095"	91	6358	14.313	9.649
	"Mackinac County, MI"	"26097"	137	10820	12.662	7.806
	"Macomb County, MI"	"26099"	8694	867730	10.019	7.883
	"Manistee County, MI"	"26101"	323	24373	13.252	8.098
	"Marquette County, MI"	"26103"	690	66435	10.386	7.732
	"Mason County, MI"	"26105"	338	28876	11.705	7.638
	"Mecosta County, MI"	"26107"	399	43221	9.232	7.596
	"Menominee County, MI"	"26109"	270	23281	11.597	6.528
	"Midland County, MI"	"26111"	797	83462	9.549	7.001
	"Missaukee County, MI"	"26113"	156	15102	10.330	7.362
	"Monroe County, MI"	"26115"	1458	149208	9.772	7.775
	"Montcalm County, MI"	"26117"	616	62974	9.782	7.955
	"Montmorency County, MI"	"26119"	168	9173	18.315	10.091
	"Muskegon County, MI"	"26121"	1707	173408	9.844	8.213
	"Newaygo County, MI"	"26123"	485	47938	10.117	7.662
	"Oakland County, MI"	"26125"	10516	1243970	8.454	6.797
	"Oceana County, MI"	"26127"	292	26027	11.219	8.354
	"Ogemaw County, MI"	"26129"	349	20904	16.695	10.108
	"Ontonagon County, MI"	"26131"	113	5911	19.117	8.836
	"Osceola County, MI"	"26133"	243	23110	10.515	7.706
	"Oscoda County, MI"	"26135"	128	8264	15.489	8.744
	"Otsego County, MI"	"26137"	266	24470	10.870	7.811
	"Ottawa County, MI"	"26139"	1922	282250	6.810	6.161
	"Presque Isle County, MI"	"26141"	198	12762	15.515	7.148
	"Roscommon County, MI"	"26143"	445	23700	18.776	10.245
	"Saginaw County, MI"	"26145"	2132	192326	11.085	8.162
	"St. Clair County, MI"	"26147"	1774	159587	11.116	8.518
	"St. Joseph County, MI"	"26149"	678	60853	11.142	8.740
	"Sanilac County, MI"	"26151"	527	41409	12.727	8.901
	"Schoolcraft County, MI"	"26153"	112	8001	13.998	7.492
	"Shiawassee County, MI"	"26155"	729	68554	10.634	8.366
	"Tuscola County, MI"	"26157"	618	53338	11.586	8.265
	"Van Buren County, MI"	"26159"	779	75223	10.356	8.408
	"Washtenaw County, MI"	"26161"	2274	364709	6.235	6.272
	"Wayne County, MI"	"26163"	18359	1749366	10.495	9.144
	"Wexford County, MI"	"26165"	330	33163	9.951	7.446
	"Aitkin County, MN"	"27001"	246	15583	15.786	8.852
	"Anoka County, MN"	"27003"	2081	345957	6.015	6.151
	"Becker County, MN"	"27005"	328	33734	9.723	6.985
	"Beltrami County, MN"	"27007"	387	46106	8.394	7.364
	"Benton County, MN"	"27009"	353	39992	8.827	7.047
	"Big Stone County, MN"	"27011"	71	5050	14.059	6.630
	"Blue Earth County, MN"	"27013"	527	66441	7.932	6.936
	"Brown County, MN"	"27015"	284	25331	11.212	6.070
	"Carlton County, MN"	"27017"	387	35738	10.829	8.299
	"Carver County, MN"	"27019"	495	100262	4.937	5.608
	"Cass County, MN"	"27021"	334	28993	11.520	7.589
	"Chippewa County, MN"	"27023"	156	12133	12.857	7.210
	"Chisago County, MN"	"27025"	402	54748	7.343	6.361
	"Clay County, MN"	"27027"	474	62875	7.539	6.815
	"Clearwater County, MN"	"27029"	93	8827	10.536	7.372
	"Cook County, MN"	"27031"	53	5286	10.026	5.992
	"Cottonwood County, MN"	"27033"	127	11470	11.072	5.791
	"Crow Wing County, MN"	"27035"	707	63940	11.057	7.093
	"Dakota County, MN"	"27037"	2558	417486	6.127	5.908
	"Dodge County, MN"	"27039"	134	20506	6.535	5.767
	"Douglas County, MN"	"27041"	441	37456	11.774	6.963
	"Faribault County, MN"	"27043"	190	13935	13.635	7.311
	"Fillmore County, MN"	"27045"	228	21003	10.856	6.414
	"Freeborn County, MN"	"27047"	366	30446	12.021	7.232
	"Goodhue County, MN"	"27049"	463	46676	9.919	6.409
	"Grant County, MN"	"27051"	71	5956	11.921	6.769
	"Hennepin County, MN"	"27053"	8557	1232483	6.943	6.342
	"Houston County, MN"	"27055"	163	18814	8.664	5.352
	"Hubbard County, MN"	"27057"	209	20718	10.088	6.577
	"Isanti County, MN"	"27059"	334	39025	8.559	7.237
	"Itasca County, MN"	"27061"	500	45242	11.052	6.916
	"Jackson County, MN"	"27063"	106	9944	10.660	6.187
	"Kanabec County, MN"	"27065"	170	15830	10.739	8.074
	"Kandiyohi County, MN"	"27067"	380	42495	8.942	6.184
	"Kittson County, MN"	"27069"	55	4333	12.693	6.349
	"Koochiching County, MN"	"27071"	157	12628	12.433	7.300
	"Lac qui Parle County, MN"	"27073"	82	6715	12.211	5.903
	"Lake County, MN"	"27075"	136	10625	12.800	6.825
	"Lake of the Woods County, MN"	"27077"	41	3814	10.750	6.300
	"Le Sueur County, MN"	"27079"	233	27591	8.445	6.837
	"Lincoln County, MN"	"27081"	86	5783	14.871	6.450
