"Label (Grouping)","Population 18 to 24 years","Population 18 to 24 years!!Less than high school graduate","Population 18 to 24 years!!High school graduate (includes equivalency)","Population 18 to 24 years!!Some college or associate's degree","Population 18 to 24 years!!Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","White alone, not Hispanic or Latino","White alone, not Hispanic or Latino!!High school graduate or higher","White alone, not Hispanic or Latino!!Bachelor's degree or higher","Black alone","Black alone!!High school graduate or higher","Black alone!!Bachelor's degree or higher","American Indian or Alaska Native alone","American Indian or Alaska Native alone!!High school graduate or higher","American Indian or Alaska Native alone!!Bachelor's degree or higher","Asian alone","Asian alone!!High school graduate or higher","Asian alone!!Bachelor's degree or higher","Native Hawaiian and Other Pacific Islander alone","Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","Some other race alone","Some other race alone!!High school graduate or higher","Some other race alone!!Bachelor's degree or higher","Two or more races","Two or more races!!High school graduate or higher","Two or more races!!Bachelor's degree or higher","Hispanic or Latino Origin","Hispanic or Latino Origin!!High school graduate or higher","Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"        Estimate","(X)","14.4%","18.7%","55.4%","11.5%","(X)","8.4%","9.1%","30.6%","17.8%","9.4%","14.3%","10.4%","82.5%","24.7%","(X)","89.2%","29.9%","(X)","88.9%","18.5%","(X)","85.5%","27.4%","(X)","70.9%","22.0%","","(X)","83.0%","25.0%","(X)","83.6%","25.3%","(X)","55.1%","9.6%","(X)","100.0%","0.0%","(X)","72.9%","20.3%","(X)","-","-","(X)","55.6%","0.0%","(X)","64.0%","22.5%","(X)","42.1%","2.0%","","32.1%","13.0%","11.8%","5.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,221","172","165","778","106","7,130","688","706","2,450","1,099","437","996","754","(X)","(X)","1,031","926","280","1,275","1,100","166","2,936","2,462","859","1,888","1,248","445","","6,956","5,608","1,735","6,838","5,567","1,730","66","46","13","31","31","0","24","12","0","0","0","0","4","0","0","49","39","2","135","54","5","","(X)","(X)","(X)","(X)","","33,827","14,773","30,819","34,250","45,917","55,147"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.1%","13.5%","63.7%","8.7%","(X)","9.6%","9.9%","34.4%","15.4%","6.1%","14.0%","10.6%","80.4%","24.5%","(X)","89.8%","27.2%","(X)","86.3%","13.0%","(X)","83.9%","29.3%","(X)","66.1%","23.6%","","(X)","80.6%","24.9%","(X)","81.4%","25.3%","(X)","69.7%","19.7%","(X)","100.0%","0.0%","(X)","50.0%","0.0%","(X)","-","-","(X)","0.0%","0.0%","(X)","79.6%","4.1%","(X)","40.0%","3.7%","","28.2%","11.3%","5.3%","4.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,078","159","266","495","158","7,813","570","654","2,120","1,560","967","1,136","806","(X)","(X)","1,037","918","339","1,277","1,169","306","3,179","2,767","815","2,320","1,735","482","","7,547","6,430","1,887","7,449","6,382","1,887","70","29","0","5","5","0","35","31","12","0","0","0","5","5","0","151","89","43","119","53","0","","(X)","(X)","(X)","(X)","","25,536","8,750","20,054","29,127","32,051","48,317"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.7%","24.7%","45.9%","14.7%","(X)","7.3%","8.4%","27.1%","20.0%","12.4%","14.5%","10.3%","84.3%","24.9%","(X)","88.5%","32.7%","(X)","91.5%","24.0%","(X)","87.0%","25.6%","(X)","74.8%","20.8%","","(X)","85.2%","25.0%","(X)","85.7%","25.3%","(X)","41.4%","0.0%","(X)","100.0%","0.0%","(X)","88.6%","34.3%","(X)","-","-","(X)","100.0%","0.0%","(X)","58.9%","28.5%","(X)","44.5%","0.0%","","36.5%","14.9%","15.6%","6.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Martin County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,798","320","692","779","7","16,797","1,028","1,709","6,064","3,749","1,596","1,786","865","(X)","(X)","2,332","2,117","348","2,465","2,299","710","7,159","6,219","1,053","4,841","3,425","540","","9,471","8,448","1,790","9,237","8,306","1,731","6,996","5,360","807","44","44","11","38","38","28","88","88","0","98","49","0","62","33","15","446","288","59","","(X)","(X)","(X)","(X)","","27,201","17,354","24,353","28,556","38,510","51,456"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","17.8%","38.5%","43.3%","0.4%","(X)","6.1%","10.2%","36.1%","22.3%","9.5%","10.6%","5.1%","83.7%","15.8%","(X)","90.8%","14.9%","(X)","93.3%","28.8%","(X)","86.9%","14.7%","(X)","70.7%","11.2%","","(X)","89.2%","18.9%","(X)","89.9%","18.7%","(X)","76.6%","11.5%","(X)","100.0%","25.0%","(X)","100.0%","73.7%","(X)","100.0%","0.0%","(X)","50.0%","0.0%","(X)","53.2%","24.2%","(X)","64.6%","13.2%","","29.9%","18.5%","13.2%","6.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","909","188","311","410","0","7,692","535","889","2,987","1,563","678","779","261","(X)","(X)","1,169","1,011","129","1,120","1,001","230","3,376","2,922","439","2,027","1,334","242","","4,490","3,989","780","4,363","3,904","746","2,973","2,095","235","23","23","0","23","23","13","85","85","0","76","36","0","22","17","12","288","206","34","","(X)","(X)","(X)","(X)","","30,331","22,357","26,387","33,039","41,806","-"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20.7%","34.2%","45.1%","0.0%","(X)","7.0%","11.6%","38.8%","20.3%","8.8%","10.1%","3.4%","81.5%","13.5%","(X)","86.5%","11.0%","(X)","89.4%","20.5%","(X)","86.6%","13.0%","(X)","65.8%","11.9%","","(X)","88.8%","17.4%","(X)","89.5%","17.1%","(X)","70.5%","7.9%","(X)","100.0%","0.0%","(X)","100.0%","56.5%","(X)","100.0%","0.0%","(X)","47.4%","0.0%","(X)","77.3%","54.5%","(X)","71.5%","11.8%","","25.3%","15.2%","8.2%","10.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","889","132","381","369","7","9,105","493","820","3,077","2,186","918","1,007","604","(X)","(X)","1,163","1,106","219","1,345","1,298","480","3,783","3,297","614","2,814","2,091","298","","4,981","4,459","1,010","4,874","4,402","985","4,023","3,265","572","21","21","11","15","15","15","3","3","0","22","13","0","40","16","3","158","82","25","","(X)","(X)","(X)","(X)","","25,242","15,599","21,028","25,188","32,798","50,491"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.8%","42.9%","41.5%","0.8%","(X)","5.4%","9.0%","33.8%","24.0%","10.1%","11.1%","6.6%","85.6%","17.7%","(X)","95.1%","18.8%","(X)","96.5%","35.7%","(X)","87.2%","16.2%","(X)","74.3%","10.6%","","(X)","89.5%","20.3%","(X)","90.3%","20.2%","(X)","81.2%","14.2%","(X)","100.0%","52.4%","(X)","100.0%","100.0%","(X)","100.0%","0.0%","(X)","59.1%","0.0%","(X)","40.0%","7.5%","(X)","51.9%","15.8%","","34.9%","21.7%","16.8%","4.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Mecklenburg County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","93,348","12,763","22,726","42,302","15,557","669,789","30,577","38,933","123,444","137,598","50,572","191,987","96,678","(X)","(X)","168,176","151,014","79,975","154,582","138,762","73,583","245,548","223,272","102,034","101,483","87,231","33,073","","398,862","369,665","205,060","357,765","343,449","196,699","196,672","175,154","54,583","2,152","1,549","436","36,510","30,288","20,497","291","210","7","23,714","12,592","2,590","11,588","10,821","5,492","68,007","41,180","11,501","","(X)","(X)","(X)","(X)","","38,709","19,616","26,041","31,903","52,297","68,629"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","13.7%","24.3%","45.3%","16.7%","(X)","4.6%","5.8%","18.4%","20.5%","7.6%","28.7%","14.4%","89.6%","43.1%","(X)","89.8%","47.6%","(X)","89.8%","47.6%","(X)","90.9%","41.6%","(X)","86.0%","32.6%","","(X)","92.7%","51.4%","(X)","96.0%","55.0%","(X)","89.1%","27.8%","(X)","72.0%","20.3%","(X)","83.0%","56.1%","(X)","72.2%","2.4%","(X)","53.1%","10.9%","(X)","93.4%","47.4%","(X)","60.6%","16.9%","","27.9%","15.9%","11.2%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","45,769","7,488","12,179","19,731","6,371","314,613","16,437","20,529","59,308","60,636","19,900","91,884","45,919","(X)","(X)","81,652","71,496","35,860","74,324","65,540","33,836","116,506","104,269","50,623","42,131","36,342","17,484","","193,316","177,008","102,047","172,217","164,335","98,055","84,206","73,623","21,337","1,001","631","169","18,302","15,403","10,988","99","66","0","12,365","6,008","1,112","5,324","4,908","2,150","35,118","19,809","5,342","","(X)","(X)","(X)","(X)","","44,944","22,066","29,500","36,999","66,210","95,203"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","16.4%","26.6%","43.1%","13.9%","(X)","5.2%","6.5%","18.9%","19.3%","6.3%","29.2%","14.6%","88.3%","43.8%","(X)","87.6%","43.9%","(X)","88.2%","45.5%","(X)","89.5%","43.5%","(X)","86.3%","41.5%","","(X)","91.6%","52.8%","(X)","95.4%","56.9%","(X)","87.4%","25.3%","(X)","63.0%","16.9%","(X)","84.2%","60.0%","(X)","66.7%","0.0%","(X)","48.6%","9.0%","(X)","92.2%","40.4%","(X)","56.4%","15.2%","","23.3%","13.0%","9.0%","3.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","47,579","5,275","10,547","22,571","9,186","355,176","14,140","18,404","64,136","76,962","30,672","100,103","50,759","(X)","(X)","86,524","79,518","44,115","80,258","73,222","39,747","129,042","119,003","51,411","59,352","50,889","15,589","","205,546","192,657","103,013","185,548","179,114","98,644","112,466","101,531","33,246","1,151","918","267","18,208","14,885","9,509","192","144","7","11,349","6,584","1,478","6,264","5,913","3,342","32,889","21,371","6,159","","(X)","(X)","(X)","(X)","","33,546","15,939","21,232","29,062","41,910","52,879"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","11.1%","22.2%","47.4%","19.3%","(X)","4.0%","5.2%","18.1%","21.7%","8.6%","28.2%","14.3%","90.8%","42.5%","(X)","91.9%","51.0%","(X)","91.2%","49.5%","(X)","92.2%","39.8%","(X)","85.7%","26.3%","","(X)","93.7%","50.1%","(X)","96.5%","53.2%","(X)","90.3%","29.6%","(X)","79.8%","23.2%","(X)","81.7%","52.2%","(X)","75.0%","3.6%","(X)","58.0%","13.0%","(X)","94.4%","53.4%","(X)","65.0%","18.7%","","33.0%","18.6%","12.9%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Mitchell County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,155","231","262","535","127","11,286","1,008","1,062","3,682","2,403","1,160","1,268","703","(X)","(X)","1,596","1,345","423","1,657","1,382","301","4,510","3,917","806","3,523","2,572","441","","11,073","9,047","1,919","10,801","8,903","1,897","21","14","0","69","69","15","14","14","3","20","20","20","41","5","0","48","47","14","313","149","22","","(X)","(X)","(X)","(X)","","30,083","18,873","27,086","30,608","45,714","40,114"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","20.0%","22.7%","46.3%","11.0%","(X)","8.9%","9.4%","32.6%","21.3%","10.3%","11.2%","6.2%","81.7%","17.5%","(X)","84.3%","26.5%","(X)","83.4%","18.2%","(X)","86.9%","17.9%","(X)","73.0%","12.5%","","(X)","81.7%","17.3%","(X)","82.4%","17.6%","(X)","66.7%","0.0%","(X)","100.0%","21.7%","(X)","100.0%","21.4%","(X)","100.0%","100.0%","(X)","12.2%","0.0%","(X)","97.9%","29.2%","(X)","47.6%","7.0%","","27.3%","16.8%","14.1%","2.4%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","570","136","151","223","60","5,395","517","613","1,786","1,043","430","646","360","(X)","(X)","821","664","268","832","653","98","2,163","1,800","420","1,579","1,148","220","","5,317","4,215","996","5,159","4,147","996","18","12","0","0","0","0","3","3","3","0","0","0","24","3","0","33","32","7","182","71","0","","(X)","(X)","(X)","(X)","","32,336","19,926","31,795","37,941","50,980","-"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","23.9%","26.5%","39.1%","10.5%","(X)","9.6%","11.4%","33.1%","19.3%","8.0%","12.0%","6.7%","79.1%","18.6%","(X)","80.9%","32.6%","(X)","78.5%","11.8%","(X)","83.2%","19.4%","(X)","72.7%","13.9%","","(X)","79.3%","18.7%","(X)","80.4%","19.3%","(X)","66.7%","0.0%","(X)","-","-","(X)","100.0%","100.0%","(X)","-","-","(X)","12.5%","0.0%","(X)","97.0%","21.2%","(X)","39.0%","0.0%","","23.9%","14.7%","9.0%","2.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","585","95","111","312","67","5,891","491","449","1,896","1,360","730","622","343","(X)","(X)","775","681","155","825","729","203","2,347","2,117","386","1,944","1,424","221","","5,756","4,832","923","5,642","4,756","901","3","2","0","69","69","15","11","11","0","20","20","20","17","2","0","15","15","7","131","78","22","","(X)","(X)","(X)","(X)","","25,188","-","20,823","26,071","41,190","41,620"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","16.2%","19.0%","53.3%","11.5%","(X)","8.3%","7.6%","32.2%","23.1%","12.4%","10.6%","5.8%","84.0%","16.4%","(X)","87.9%","20.0%","(X)","88.4%","24.6%","(X)","90.2%","16.4%","(X)","73.3%","11.4%","","(X)","83.9%","16.0%","(X)","84.3%","16.0%","(X)","66.7%","0.0%","(X)","100.0%","21.7%","(X)","100.0%","0.0%","(X)","100.0%","100.0%","(X)","11.8%","0.0%","(X)","100.0%","46.7%","(X)","59.5%","16.8%","","31.4%","18.9%","17.7%","2.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Montgomery County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,822","227","820","711","64","19,275","1,699","2,853","6,183","3,895","1,848","2,067","730","(X)","(X)","3,068","2,302","370","3,616","2,739","462","7,535","6,035","1,160","5,056","3,647","805","","15,221","11,838","2,633","13,445","11,166","2,609","3,488","2,523","145","45","45","0","282","143","0","0","0","0","153","109","0","86","65","19","1,930","782","43","","(X)","(X)","(X)","(X)","","27,284","19,845","23,497","28,214","40,977","44,736"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","12.5%","45.0%","39.0%","3.5%","(X)","8.8%","14.8%","32.1%","20.2%","9.6%","10.7%","3.8%","76.4%","14.5%","(X)","75.0%","12.1%","(X)","75.7%","12.8%","(X)","80.1%","15.4%","(X)","72.1%","15.9%","","(X)","77.8%","17.3%","(X)","83.0%","19.4%","(X)","72.3%","4.2%","(X)","100.0%","0.0%","(X)","50.7%","0.0%","(X)","-","-","(X)","71.2%","0.0%","(X)","75.6%","22.1%","(X)","40.5%","2.2%","","28.5%","16.7%","16.7%","2.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,098","165","539","394","0","9,056","832","1,549","3,089","1,629","664","1,006","287","(X)","(X)","1,460","1,001","80","1,637","1,107","193","3,707","2,881","526","2,252","1,686","494","","7,316","5,475","1,231","6,351","5,090","1,207","1,526","1,045","55","5","5","0","113","81","0","0","0","0","63","39","0","33","30","7","1,026","422","31","","(X)","(X)","(X)","(X)","","31,997","26,008","31,023","33,914","51,111","81,875"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","15.0%","49.1%","35.9%","0.0%","(X)","9.2%","17.1%","34.1%","18.0%","7.3%","11.1%","3.2%","73.7%","14.3%","(X)","68.6%","5.5%","(X)","67.6%","11.8%","(X)","77.7%","14.2%","(X)","74.9%","21.9%","","(X)","74.8%","16.8%","(X)","80.1%","19.0%","(X)","68.5%","3.6%","(X)","100.0%","0.0%","(X)","71.7%","0.0%","(X)","-","-","(X)","61.9%","0.0%","(X)","90.9%","21.2%","(X)","41.1%","3.0%","","22.9%","15.3%","11.7%","3.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","724","62","281","317","64","10,219","867","1,304","3,094","2,266","1,184","1,061","443","(X)","(X)","1,608","1,301","290","1,979","1,632","269","3,828","3,154","634","2,804","1,961","311","","7,905","6,363","1,402","7,094","6,076","1,402","1,962","1,478","90","40","40","0","169","62","0","0","0","0","90","70","0","53","35","12","904","360","12","","(X)","(X)","(X)","(X)","","22,654","16,207","17,256","24,394","36,979","42,676"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","8.6%","38.8%","43.8%","8.8%","(X)","8.5%","12.8%","30.3%","22.2%","11.6%","10.4%","4.3%","78.8%","14.7%","(X)","80.9%","18.0%","(X)","82.5%","13.6%","(X)","82.4%","16.6%","(X)","69.9%","11.1%","","(X)","80.5%","17.7%","(X)","85.6%","19.8%","(X)","75.3%","4.6%","(X)","100.0%","0.0%","(X)","36.7%","0.0%","(X)","-","-","(X)","77.8%","0.0%","(X)","66.0%","22.6%","(X)","39.8%","1.3%","","34.2%","18.1%","20.0%","2.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"Moore County, North Carolina","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,144","890","2,302","2,400","552","67,105","2,464","4,533","16,244","13,813","7,117","13,816","9,118","(X)","(X)","9,828","8,795","3,034","10,743","9,818","4,037","24,355","21,869","8,106","22,179","19,626","7,757","","57,081","52,029","21,400","54,668","50,512","20,800","7,741","6,430","1,017","339","171","27","712","571","358","0","0","0","332","114","33","900","793","99","2,780","1,645","639","","(X)","(X)","(X)","(X)","","35,021","13,805","25,602","31,630","46,084","61,338"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","14.5%","37.5%","39.1%","9.0%","(X)","3.7%","6.8%","24.2%","20.6%","10.6%","20.6%","13.6%","89.6%","34.2%","(X)","89.5%","30.9%","(X)","91.4%","37.6%","(X)","89.8%","33.3%","(X)","88.5%","35.0%","","(X)","91.1%","37.5%","(X)","92.4%","38.0%","(X)","83.1%","13.1%","(X)","50.4%","8.0%","(X)","80.2%","50.3%","(X)","-","-","(X)","34.3%","9.9%","(X)","88.1%","11.0%","(X)","59.2%","23.0%","","36.1%","16.3%","8.1%","2.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,090","498","1,426","1,024","142","31,519","1,329","2,205","7,608","6,358","2,812","6,197","5,010","(X)","(X)","4,868","4,283","1,161","5,267","4,773","1,896","11,428","10,036","3,769","9,956","8,893","4,381","","27,062","24,596","10,749","25,760","23,726","10,477","3,314","2,622","252","241","73","6","322","273","153","0","0","0","150","69","15","430","352","32","1,454","921","272","","(X)","(X)","(X)","(X)","","41,827","20,253","30,015","41,542","55,212","90,366"
"    Percent Males","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","16.1%","46.1%","33.1%","4.6%","(X)","4.2%","7.0%","24.1%","20.2%","8.9%","19.7%","15.9%","88.8%","35.6%","(X)","88.0%","23.8%","(X)","90.6%","36.0%","(X)","87.8%","33.0%","(X)","89.3%","44.0%","","(X)","90.9%","39.7%","(X)","92.1%","40.7%","(X)","79.1%","7.6%","(X)","30.3%","2.5%","(X)","84.8%","47.5%","(X)","-","-","(X)","46.0%","10.0%","(X)","81.9%","7.4%","(X)","63.3%","18.7%","","28.7%","12.2%","4.5%","2.7%","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,054","392","876","1,376","410","35,586","1,135","2,328","8,636","7,455","4,305","7,619","4,108","(X)","(X)","4,960","4,512","1,873","5,476","5,045","2,141","12,927","11,833","4,337","12,223","10,733","3,376","","30,019","27,433","10,651","28,908","26,786","10,323","4,427","3,808","765","98","98","21","390","298","205","0","0","0","182","45","18","470","441","67","1,326","724","367","","(X)","(X)","(X)","(X)","","28,732","9,435","18,902","25,377","39,247","52,480"
"    Percent Females","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
